         3032499 function calls (3027683 primitive calls) in 2.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.204    1.204    2.906    2.906 /app/app/features/parquet_indexer/parquet_reader.py:98(read_parquet_metadata)
   243200    0.415    0.000    0.581    0.000 /app/app/features/parquet_indexer/parquet_reader.py:19(_timestamp_to_datetime)
   121600    0.160    0.000    0.348    0.000 /usr/local/lib/python3.13/json/decoder.py:340(decode)
   495877    0.138    0.000    0.138    0.000 {method 'get' of 'dict' objects}
   243200    0.079    0.000    0.079    0.000 {method 'replace' of 'datetime.datetime' objects}
       13    0.079    0.006    0.079    0.006 {built-in method builtins.compile}
   121600    0.072    0.000    0.072    0.000 /usr/local/lib/python3.13/json/decoder.py:351(raw_decode)
   243200    0.069    0.000    0.069    0.000 {method 'end' of 're.Match' objects}
   243200    0.064    0.000    0.064    0.000 {built-in method fromtimestamp}
        1    0.060    0.060    0.060    0.060 /app/.venv/lib/python3.13/site-packages/pyarrow/parquet/core.py:1525(read)
   125550    0.060    0.000    0.060    0.000 {method 'startswith' of 'str' objects}
   121600    0.052    0.000    0.467    0.000 /usr/local/lib/python3.13/json/__init__.py:304(loads)
   243308    0.038    0.000    0.038    0.000 {method 'match' of 're.Pattern' objects}
   243693    0.023    0.000    0.023    0.000 {built-in method builtins.hasattr}
   250754    0.018    0.000    0.018    0.000 {built-in method builtins.isinstance}
   128564    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
128719/128638    0.009    0.000    0.009    0.000 {built-in method builtins.len}
     10/3    0.004    0.000    0.008    0.003 {built-in method _imp.exec_dynamic}
 4104/108    0.003    0.000    0.006    0.000 /usr/local/lib/python3.13/copy.py:119(deepcopy)
     2146    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
     84/3    0.002    0.000    0.127    0.042 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1127    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      281    0.001    0.000    0.022    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:129(_decorate_compute_function)
     1127    0.001    0.000    0.006    0.000 /usr/local/lib/python3.13/textwrap.py:419(dedent)
  324/108    0.001    0.000    0.006    0.000 /usr/local/lib/python3.13/inspect.py:2505(_signature_from_callable)
       10    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
     1082    0.001    0.000    0.002    0.000 /usr/local/lib/python3.13/inspect.py:2773(__init__)
      497    0.001    0.000    0.001    0.000 /usr/local/lib/python3.13/inspect.py:3061(__init__)
      281    0.001    0.000    0.009    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:275(_make_signature)
      281    0.001    0.000    0.032    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:298(_wrap_function)
  216/108    0.001    0.000    0.006    0.000 /usr/local/lib/python3.13/copy.py:218(_deepcopy_dict)
      482    0.001    0.000    0.002    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:74(read_to_condition)
       13    0.001    0.000    0.001    0.000 {built-in method marshal.dumps}
      357    0.001    0.000    0.001    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:174(_is_at_section)
      108    0.001    0.000    0.002    0.000 /usr/local/lib/python3.13/inspect.py:2401(_signature_from_function)
     8221    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      108    0.001    0.000    0.004    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:228(_parse_param_list)
        1    0.001    0.001    0.033    0.033 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:314(_make_global_functions)
     1728    0.001    0.000    0.001    0.000 /usr/local/lib/python3.13/copy.py:232(_keep_alive)
     5133    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2903    0.000    0.000    0.001    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:71(eof)
      141    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     1512    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/copy.py:192(_deepcopy_list)
        1    0.000    0.000    0.127    0.127 /app/.venv/lib/python3.13/site-packages/pyarrow/parquet/core.py:1387(__init__)
      562    0.000    0.000    0.001    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:115(_get_arg_names)
     1131    0.000    0.000    0.002    0.000 /usr/local/lib/python3.13/re/__init__.py:330(_compile)
      108    0.000    0.000    0.009    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:384(_parse)
       47    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
     1019    0.000    0.000    0.002    0.000 /usr/local/lib/python3.13/re/__init__.py:183(sub)
      324    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/inspect.py:2163(_signature_is_functionlike)
      281    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:212(_get_options_class)
     39/8    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/re/_parser.py:511(_parse)
      645    0.000    0.000    0.001    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:93(is_unindented)
       13    0.000    0.000    0.000    0.000 {built-in method posix.open}
